ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789498800,27.6,28.0,27.9,25.0,26.0,25.3,30,0
1789500600,27.6,27.6,27.6,26.0,27.0,26.1,30,0
1789502400,27.1,27.6,27.3,26.0,27.0,26.7,30,0
1789504200,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789506000,26.7,27.1,27.0,26.0,27.0,26.3,30,0
1789507800,26.7,26.7,26.7,26.0,27.0,26.2,30,0
1789509600,26.7,26.7,26.7,26.0,27.0,27.0,30,0
1789511400,26.2,26.7,26.4,27.0,28.0,27.1,30,0
1789513200,26.2,26.2,26.2,28.0,28.0,28.0,30,0
1789515000,26.2,26.2,26.2,28.0,29.0,28.5,30,0
1789516800,25.8,26.2,26.0,28.0,29.0,28.1,30,0
1789518600,25.8,25.8,25.8,28.0,28.0,28.0,30,0
1789520400,25.8,25.8,25.8,28.0,29.0,28.7,30,0
1789522200,25.8,25.8,25.8,29.0,29.0,29.0,30,0
1789524000,25.8,25.8,25.8,29.0,29.0,29.0,30,0
1789525800,25.8,25.8,25.8,29.0,30.0,29.0,30,0
1789527600,25.8,25.8,25.8,29.0,30.0,29.6,30,0
1789529400,25.8,26.2,25.9,30.0,31.0,30.5,30,0
1789531200,26.2,26.7,26.4,31.0,31.0,31.0,30,0
1789533000,26.7,27.1,27.0,31.0,31.0,31.0,30,0
1789534800,27.1,27.6,27.4,30.0,31.0,30.6,30,0
1789536600,27.6,28.0,27.9,28.0,30.0,29.0,30,0
1789538400,28.0,28.5,28.5,28.0,29.0,28.3,30,0
1789540200,28.5,28.9,28.8,28.0,28.0,28.0,30,0
1789542000,28.9,29.3,29.1,28.0,28.0,28.0,30,0
1789543800,29.3,29.8,29.5,28.0,28.0,28.0,30,0
1789545600,29.8,30.2,30.0,27.0,28.0,27.5,30,0
1789547400,30.2,30.8,30.5,27.0,27.0,27.0,30,0
1789549200,30.8,31.3,30.9,26.0,27.0,26.1,30,0
1789551000,31.3,31.8,31.3,26.0,26.0,26.0,30,0
1789552800,31.3,31.8,31.8,26.0,26.0,26.0,30,0
1789554600,31.8,31.8,31.8,25.0,26.0,26.0,30,0
1789556400,31.8,31.8,31.8,26.0,27.0,26.1,30,0
1789558200,31.8,31.8,31.8,26.0,27.0,26.5,30,0
1789560000,31.8,32.1,31.8,27.0,27.0,27.0,30,0
1789561800,31.3,31.8,31.7,27.0,27.0,27.0,30,0
1789563600,30.7,31.3,31.0,27.0,27.0,27.0,30,0
1789565400,29.8,30.2,30.0,27.0,30.0,28.4,30,0
1789567200,29.3,29.8,29.6,30.0,30.0,30.0,30,0
1789570800,28.5,28.5,28.5,32.0,32.0,32.0,23,0
1789572600,28.0,28.5,28.1,31.0,32.0,31.6,30,0
1789574400,28.0,28.0,28.0,31.0,31.0,31.0,30,0
1789576200,27.6,28.0,27.8,31.0,32.0,31.4,30,0
1789578000,27.6,27.6,27.6,32.0,32.0,32.0,30,0
1789579800,27.1,27.6,27.3,31.0,32.0,32.0,30,0
1789581600,27.1,27.1,27.1,31.0,31.0,31.0,30,0
1789583400,26.7,27.1,26.9,31.0,32.0,31.2,30,0
