ts_on,local_time,pump,actor,duration_s
1789201566,2026-09-12 13:26:06,1,"vladimir",1812
1789204058,2026-09-12 14:07:38,1,"Andrey",905
1789205005,2026-09-12 14:23:25,1,"Andrey",1807
1789207056,2026-09-12 14:57:36,1,"Andrey",1800
1789209338,2026-09-12 15:35:38,2,"Andrey",4
1789209347,2026-09-12 15:35:47,1,"Andrey",288
1789209716,2026-09-12 15:41:56,1,"Andrey",1808
1789211601,2026-09-12 16:13:21,1,"Andrey",850
1789212493,2026-09-12 16:28:13,1,"Andrey",211
1789212882,2026-09-12 16:34:42,1,"Andrey",1214
1789216841,2026-09-12 17:40:41,2,"Andrey",171
