ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1790017200,1158,1198,1172,66.2,30,0
1790019000,1151,1185,1166,66.6,30,0
1790020800,1147,1188,1169,66.4,30,0
1790022600,1141,1196,1170,66.4,30,0
1790024400,1147,1199,1167,66.5,30,0
1790026200,1143,1180,1161,66.9,30,0
1790028000,1142,1178,1160,67.0,30,0
1790029800,1144,1185,1159,67.0,30,0
1790031600,1119,1168,1151,67.5,30,0
1790033400,1126,1158,1144,67.9,30,0
1790035200,1109,1155,1138,68.3,30,0
1790037000,1124,1155,1140,68.2,30,0
1790038800,1131,1187,1152,67.4,30,0
1790040600,1168,1212,1186,65.4,30,0
1790042400,1185,1218,1201,64.5,30,0
1790044200,1193,1358,1267,60.6,30,0
1790046000,1292,1368,1346,55.8,30,0
1790047800,1260,1306,1275,60.1,30,0
1790049600,1253,1310,1285,59.5,30,0
1790051400,1313,1402,1369,54.4,30,0
1790053200,1366,1411,1383,53.6,30,0
1790055000,1350,1398,1369,54.4,30,0
1790056800,1329,1368,1351,55.5,30,0
1790058600,1329,1371,1347,55.8,30,0
1790060400,1329,1375,1353,55.4,30,0
1790062200,1341,1374,1357,55.2,30,0
1790064000,1336,1398,1354,55.3,30,0
1790065800,1338,1379,1357,55.2,30,0
1790067600,1344,1384,1361,54.9,30,0
1790069400,1348,1387,1365,54.7,30,0
1790071200,1344,1377,1357,55.2,30,0
1790073000,1325,1373,1352,55.5,30,0
1790074800,1334,1373,1352,55.5,30,0
1790076600,1326,1367,1345,55.9,30,0
1790078400,1306,1353,1329,56.8,30,0
1790080200,1297,1342,1319,57.4,30,0
1790082000,1280,1322,1303,58.4,30,0
1790083800,1231,1305,1275,60.1,30,0
1790085600,1251,1282,1263,60.8,30,0
1790087400,1243,1282,1258,61.1,30,0
1790089200,1239,1277,1251,61.5,30,0
1790091000,1240,1269,1251,61.5,30,0
1790092800,1238,1277,1250,61.6,30,0
1790094600,1228,1277,1243,62.0,30,0
1790096400,1219,1277,1240,62.2,30,0
1790098200,1234,1276,1255,61.3,30,0
1790100000,1234,1272,1254,61.3,30,0
1790101800,1220,1274,1239,62.2,30,0
